,province,city,county,communitys,_merge,level,date
0,内蒙古自治区,呼伦贝尔市,海拉尔区,奋斗镇神宝小区,removed,middle,2021-08-19
1,海南省,海口市,高新区,云龙产业园,removed,middle,2021-08-19
